ENA_RUN_ACCESSION,SET1,ANTIBIOGRAM1,SET2,ANTIBIOGRAM2,SET3,ANTIBIOGRAM3
ERR9993110,basic,SSRSSSRRSSRUSRR,nulls,SSRSSSRRSSRUSRR,nulls+minors,RRRRSSRRSSRRRRR
ERR9993111,basic,RRSSSSSSSUSSSSS,nulls,RRSSSSSSSUSSSSS,nulls+minors,RRSSSSRRSUSSSSS
ERR9993112,basic,RRSSUSRRUSSUUSS,nulls,RRSSUSRRUSSUUSS,nulls+minors,RRSSUSRRUSSUUSS
ERR9993113,basic,RRRRSSRRSUSRSSS,nulls,RRRRSSRRSUSRSSS,nulls+minors,RRRRSSRRSUSRSSS
ERR9993114,basic,RRRRRSRRRSSRRSR,nulls,RRRRRSRRRSSRRSR,nulls+minors,RRRRRSRRRSSRRSR
ERR9993115,basic,RRRRRSRRRUSRRSS,nulls,RRRRRSRRRUSRRSS,nulls+minors,RRRRRSRRRUSRRSS
ERR9993117,basic,RRRRRURRRSSRRSS,nulls,RRRRRURRRSSRRSS,nulls+minors,RRRRRURRRSSRRSS
ERR9993118,basic,RRRRRSRRRUSRSSS,nulls,RRRRRSRRRUSRSSS,nulls+minors,RRRRRSRRRUSRSSS
ERR9993120,basic,RRRRRURRRSSRRSS,nulls,RRRRRURRRSSRRSS,nulls+minors,RRRRRURRRSSRRSS
ERR9993124,basic,RRRRRSSSRSSUSSS,nulls,RRRRRSSSRSSUSSS,nulls+minors,RRRRRSSSRSSUSSS
ERR9993125,basic,RRRRRSSSRUSRSSS,nulls,RRRRRSSSRUSRSSS,nulls+minors,RRRRRSSSRUSRSSS
ERR9993129,basic,RRSRRSRRRSSRRSS,nulls,RRSRRSRRRSSRRSS,nulls+minors,RRSRRSRRRSSRRSS
ERR9993130,basic,RRRRRSRRRUSRUSS,nulls,RRRRRSRRRUSRUSS,nulls+minors,RRRRRSRRRUSRUSS
ERR9993132,basic,RRRRSSRRSSSRRSR,nulls,RRRRSSRRSSSRRSR,nulls+minors,RRRRSSRRSSSRRSR
ERR9993134,basic,RRSRSSSSSSSSSSS,nulls,RRSRSSSSSSSSSSS,nulls+minors,RRSRSSSSSSSSSSS
ERR9993135,basic,SUSSSSSSSSSSSSS,nulls,SUSSSSSSSSSSSSS,nulls+minors,SRSSSSSSSSSSSSS
ERR9993136,basic,RRRRUSSSUSRRRRR,nulls,RRRRUSSSUSRRRRR,nulls+minors,RRRRUSRRUSRRRRR
ERR9993137,basic,RRRRSSUUSUSSRSS,nulls,RRRRSSUUSUSSRSS,nulls+minors,RRRRSSUUSUSSRSS
ERR9993138,basic,RRRRSSUUSUSSRSS,nulls,RRRRSSUUSUSSRSS,nulls+minors,RRRRSSUUSUSSRSS
ERR9993142,basic,RRURUSRRUUSRUSS,nulls,RRURUSRRUUSRUSS,nulls+minors,RRURUSRRUUSRUSS
ERR9993143,basic,URSRSSRRSSSSSSS,nulls,URSRSSRRSSSSSSS,nulls+minors,URSRSSRRSSSSSSS
ERR9993146,basic,RRRUSRRRSSSRUSS,nulls,RRRUSRRRSSSRUSS,nulls+minors,RRRUSRRRSSSRUSS
ERR9993148,basic,RRRUUSRRUUSRRSS,nulls,RRRUUSRRUUSRRSS,nulls+minors,RRRUUSRRUUSRRSS
ERR9993149,basic,RSSSSSSSSSSSSSS,nulls,RSSSSSSSSSSSSSS,nulls+minors,RSSSSSRRSSSSSSS
ERR9993150,basic,SSSSSSSSSUSSSSS,nulls,SSSSSSSSSUSSSSS,nulls+minors,SRSSSSSSSUSSSSS
ERR9993152,basic,URSSRSSSRSSSSSS,nulls,URSSRSSSRSSSSSS,nulls+minors,URSSRSSSRSSSSSS
ERR9993157,basic,RRRRUSRRUSSRRUS,nulls,RRRRUSRRUSSRRUS,nulls+minors,RRRRUSRRUSSRRUS
ERR9993159,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR9993172,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993173,basic,RRRRUSRRUSRRRRR,nulls,RRRRUSRRUSRRRRR,nulls+minors,RRRRUSRRUSRRRRR
ERR9993177,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993180,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRRSRRRSSRRSS
ERR9993181,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993185,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993186,basic,RRRRSRRRUSRRRRR,nulls,RRRRSRRRUSRRRRR,nulls+minors,RRRRSRRRUSRRRRR
ERR9993191,basic,RRRRRSRRRSSRUSS,nulls,RRRRRSRRRSSRUSS,nulls+minors,RRRRRSRRRSSRUSS
ERR9993192,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRSSRRSSSRUSS
ERR9993193,basic,RRRRSSRRSSSRUSS,nulls,RRRRSSRRSSSRUSS,nulls+minors,RRRRSSRRSSSRUSS
ERR9993194,basic,RRSSRSUURSRUURR,nulls,RRSSRSUURSRUURR,nulls+minors,RRSSRSUURSRUURR
ERR9993195,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993196,basic,RRSSRSRRRSRUURR,nulls,RRSSRSRRRSRUURR,nulls+minors,RRSSRRRRRSRUURR
ERR9993197,basic,RRRRSSRRSSSRRRS,nulls,RRRRSSRRSSSRRRS,nulls+minors,RRRRSSRRSSSRRRS
ERR9993198,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR9993200,basic,RRSRSSRRSSSUUSS,nulls,RRSRSSRRSSSUUSS,nulls+minors,RRSRSSRRSSRUURR
ERR9993201,basic,RRRRRSRRRSRRRRR,nulls,RRRRRSRRRSRRRRR,nulls+minors,RRRRRSRRRSRRRRR
ERR9993202,basic,RRSSRRRRRSSSSSS,nulls,RRSSRRRRRSSSSSS,nulls+minors,RRSSRRRRRSSSSSS
ERR9993205,basic,RRRRRSRRRSSRUSS,nulls,RRRRRSRRRSSRUSS,nulls+minors,RRRRRSRRRSSRUSS
ERR9993206,basic,RRRRSSRRUSSSRSS,nulls,RRRRSSRRUSSSRSS,nulls+minors,RRRRSSRRUSSSRSS
ERR9993208,basic,RRRRSSRRSSSRRSS,nulls,RRRRSSRRSSSRRSS,nulls+minors,RRRRSSRRSSSRRSS
ERR9993209,basic,RRRRRSRRRSSRRSS,nulls,RRRRRSRRRSSRRSS,nulls+minors,RRRRRSRRRSSRRSS
ERR9993210,basic,URSSSSSSSSSSSSS,nulls,URSSSSSSSSSSSSS,nulls+minors,URSSSSSSSSSSSSS
ERR9993211,basic,RRRRRRRRRSSRRSS,nulls,RRRRRRRRRSSRRSS,nulls+minors,RRRRRRRRRSSRRSS
ERR9993212,basic,RRSSSSSSSSSRRSS,nulls,RRSSSSSSSSSRRSS,nulls+minors,RRSSSSSSSSSRRSS
ERR9993219,basic,RRRRUSRRUSSRRSS,nulls,RRRRUSRRUSSRRSS,nulls+minors,RRRRUSRRUSSRRSS
