UNIQUEID,WCHG_ID,ENA_RUN_ACCESSION,ENA_SAMPLE_ACCESSION,ENA_STUDY_ACCESSION,HAS_ALL_DRUGS,N_SUSCEPTIBLE,N_RESISTANT,N_DRUGS,BDQ,CAP,LZD,PZA,STM,FASTQ_FTP
site.10.subj.LA00773714.lab.LA00773714.iso.1,WTCHG_933275_73545330,ERR9992703,SAMEA110420061,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992703/ERR9992703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992703/ERR9992703_2.fastq.gz
site.10.subj.LA01102863.lab.LA01102863.iso.1,WTCHG_934880_70715047,ERR9992987,SAMEA110420344,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992987/ERR9992987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992987/ERR9992987_2.fastq.gz
site.10.subj.XD00958179.lab.XD00958179.iso.1,WTCHG_934394_70605036,ERR13288928,SAMEA115747585,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13288928/ERR13288928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13288928/ERR13288928_2.fastq.gz
site.10.subj.LA01174115.lab.LA01174115.iso.1,WTCHG_934880_70865062,ERR9993001,SAMEA110420358,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9993001/ERR9993001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9993001/ERR9993001_2.fastq.gz
site.10.subj.OL00118161.lab.OL00118161.iso.1,WTCHG_934395_72015273,ERR9992901,SAMEA110420258,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992901/ERR9992901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/001/ERR9992901/ERR9992901_2.fastq.gz
site.10.subj.OS00418401.lab.OS00418401.iso.1,WTCHG_934395_72035275,ERR9992903,SAMEA110420260,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992903/ERR9992903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992903/ERR9992903_2.fastq.gz
site.10.subj.YA00137943.lab.YA00137943.iso.1,WTCHG_934880_70375013,ERR13289339,SAMEA115747805,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/039/ERR13289339/ERR13289339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/039/ERR13289339/ERR13289339_2.fastq.gz
site.10.subj.YA00137057.lab.YA00137057.iso.1,WTCHG_934880_70355011,ERR9992963,SAMEA110420320,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992963/ERR9992963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992963/ERR9992963_2.fastq.gz
site.10.subj.YA00156000.lab.YA00156000.iso.1,WTCHG_933275_73015373,ERR9992737,SAMEA110420095,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992737/ERR9992737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992737/ERR9992737_2.fastq.gz
site.10.subj.XD01363641.lab.XD01363641.iso.1,WTCHG_934394_70625038,ERR13288930,SAMEA115747587,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/030/ERR13288930/ERR13288930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/030/ERR13288930/ERR13288930_2.fastq.gz
