batch_name,sample_name,remote_sample_name,remote_batch_name,remote_batch_id
06iidz.mapping.csv:mgit,ERR9993152,e8bb322d-4497-4a6b-9a0b-74a3ad0376fb,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993157,1a222e93-8095-470d-a550-04501ea2fa93,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993159,63bf1e4a-3266-4eaa-8289-92a99e330a80,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993172,6dfbb71a-82ab-4c63-beda-666ed2fff54d,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993173,a2fff115-d77d-4323-af04-b2f21af6cf29,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993177,0c9f8282-d4fa-4278-921a-3597c7b8f83b,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993180,e9f9847d-97e8-4a4c-a774-01e9f4df0543,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993181,95fe7747-dcf2-4d2d-b6e6-205b1e3ec3a9,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993185,ca9577a5-6ccf-4318-8f74-e86513578e11,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993186,02cc0b50-0d9e-4147-8117-d3eca9e64bbf,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993191,d49db2e9-fa3e-467f-8ab9-8a161aa7eb89,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993192,e4aae6b8-ba40-47bf-b839-330538fb1189,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
06iidz.mapping.csv:mgit,ERR9993193,e49bb6b1-ddcf-4739-b81a-5ad3e8aa21eb,06iidz,4eb0bd28-08c1-4d66-ac2e-9a928c745f40
